dapi_int,red_int,green_int
149.75,2912.9229,910.2195
194.75,2915.2969,87.05854
17.25,2915.7473,237.8546
34,2916.5142,1915.464
192.75,2929.4102,139.04164
320.75,2929.8438,219.49976
21.25,2931.977,113.017624
136.75,2933.0837,141.83981
654.75,2941.0334,115.43832
345.75,2941.6858,245.04057
191.25,2943.4326,146.29295
671,2944.7769,562.671
922.75,2947.6611,112.00053
9.25,2957.4194,531.58765
564.5,2959.7961,140.029
34.75,2964.2246,175.51268
118,2966.8132,730.49475
711,2967.0369,148.42612
413.5,2968.884,112.66633
226,2969.7932,756.8793
230,2970.676,78.95574
171.5,2971.3677,118.74085
89.75,2974,105.284836
112.25,2975.1355,639.9864
256.25,2980.4795,263.20337
568.5,2985.0095,224.80972
370.5,2985.8208,1091.0419
207.25,2989.4055,130.50462
18.75,2991.5146,416.14206
503.75,2991.7175,2237.9722
258.25,2991.8867,602.12415
226,2992.619,221.3391
263.25,3000.0198,218.01791
14,3005.1743,151.95737
469.25,3005.4539,330.7668
225.25,3010.1655,132.2733
625,3010.217,404.1703
1194,3012.3037,201.66573
96.75,3012.726,143.10034
325.25,3012.8484,276.07205
329.5,3013.0461,52.301075
245,3016.7217,127.68639
439.75,3018.1313,120.08693
368,3019.5198,505.22882
531.75,3024.8394,245.32599
444.5,3027.1077,869.9906
201.25,3028.4773,40.178394
461,3029.213,82.31262
596.75,3032.1428,1254.7738
332.25,3032.1726,124.95627
183,3035.2815,331.2041
334,3041.3755,56.294674
713,3041.4705,219.77611
59.25,3045.0344,288.42432
3.75,3053.2632,69.92664
282.25,3053.6833,150.5824
200,3053.6855,166.7862
70.5,3055.6606,61.72915
698.75,3065.8213,297.22284
30,3071.6877,66.86433
140.25,3073.8289,511.3733
385,3075.2402,751.6484
483.5,3075.5713,443.36874
242,3077.207,108.761
143.25,3078.6335,323.0472
323.25,3080.6553,427.4111
350,3081.8254,627.15295
730.75,3082.7468,411.30206
43.25,3083.3147,361.19675
51.25,3084.865,901.4814
603.5,3088.6301,438.70764
290.25,3093.3538,78.0534
271.5,3095.295,180.66777
381.5,3097.2915,2177.368
357.5,3098.0317,117.57574
103.25,3098.245,971.9602
356.75,3098.3994,377.77875
70.5,3099.379,141.26501
410.25,3101.1023,265.542
475,3103.349,987.7306
2.75,3104.3147,150.70605
746.75,3108.3093,1070.57
266.75,3114.232,175.9522
164.25,3122.7073,756.21094
370,3123.0657,233.51076
497.75,3124.7244,863.21906
509,3125.2207,1227.3677
479.25,3126.4177,477.21286
11,3128.317,982.4077
335.25,3129.426,518.7089
553.25,3129.7908,485.4895
638.25,3139.0156,629.7171
1026,3141.3477,123.92985
1132.25,3143.9988,583.42236
585.25,3144.3608,-50.57524
406.75,3151.325,157.31097
145.75,3159.1309,244.70781
158.25,3160.0798,85.29252
155.25,3161.402,193.18279
36.5,3165.6938,493.72192
98.25,3174.7844,70.72541
437,3174.8496,158.55817
267.75,3177.9536,570.26794
86.75,3179.053,1519.0763
11.5,3180.6177,195.93697
31.75,3180.8918,165.57245
63.5,3183.3315,86.98596
328,3185.683,114.99679
203.25,3187.8772,168.7456
1441.25,3188.4365,499.83783
115.75,3193.7786,1152.36
480,3202.274,141.30621
1092.25,3205.1938,199.35909
72.25,3207.2112,327.55527
277.5,3209.32,151.12239
1241.75,3209.829,185.38606
531.75,3214.3374,714.30884
194.75,3216.8303,164.94333
777.25,3225.4116,675.0875
94.75,3235.6245,1492.9119
714.25,3235.886,592.2351
357.5,3237.2498,190.54549
42.75,3237.7812,684.92035
301.25,3249.7903,155.60646
214.75,3250.4363,468.0676
806.5,3250.7336,342.03763
64,3257.3865,268.00064
83.25,3257.8835,118.2142
6,3258.5747,175.25499
147.75,3258.7058,238.4564
86.25,3259.442,201.4842
84.5,3260.892,74.07005
546.5,3261.54,94.46394
148.75,3263.896,161.70107
332.75,3265.345,240.68143
214.25,3267.6904,136.74883
20.25,3269.6604,130.3722
351.75,3274.041,196.81705
573.5,3275.3906,162.7646
336.25,3276.2212,141.10677
170,3279.2659,616.4493
572.5,3281.8933,504.16833
101.75,3289.882,141.91785
420.25,3295.1511,340.15552
906.75,3304.955,107.04125
54,3307.5125,525.3298
482,3308.1814,536.16504
1212.25,3316.632,172.1641
205,3323.6775,93.63121
114.25,3324.34,88.98841
232.5,3338.8396,566.31744
139.75,3341.0679,179.00269
84.75,3347.6482,148.73512
199.5,3348.2073,89.84024
424.25,3348.2114,1568.4159
426.5,3350.1936,-169.55728
168.5,3351.165,102.0059
155.25,3356.0361,448.9563
9,3357.194,256.9865
108.75,3358.6443,89.144905
0,3361.1074,287.5487
347.25,3368.326,263.58347
500.25,3371.3757,221.09244
80,3376.8042,883.7662
453.25,3382.0325,434.3405
849.5,3383.5413,1896.6516
533,3394.2583,124.47492
971.5,3401.1213,1901.6108
675.75,3401.1252,371.79276
5.75,3405.0022,277.3756
352,3407.6946,954.23645
115.5,3413.2727,88.79462
169.75,3419.2026,417.37582
37,3420.283,116.45778
493.5,3429.3877,927.9555
124.5,3435.9104,256.7709
233.5,3437.8167,868.4058
220.75,3441.0195,894.5158
439.75,3441.3538,1036.7133
330.5,3446.1667,84.28494
311.5,3448.447,1211.8959
1.25,3452.2217,59.97938
337.5,3453.2205,61.45574
253,3455.748,263.17712
277.25,3457.1934,63.390205
84.25,3459.9658,159.0266
161,3460.7786,140.2131
505.75,3466.085,70.43281
137,3466.0857,119.374535
117.5,3467.5918,84.49789
11.75,3469.715,824.5663
146.25,3470.2349,1058.2147
583.25,3471.0173,144.2779
686.25,3477.7397,813.15497
573.25,3479.9314,786.35425
122.5,3485.9182,76.414185
647.25,3493.1392,375.4745
374.5,3501.2705,750.7531
742.5,3502.2483,525.74097
80.25,3502.2996,165.49304
1,3502.55,211.92041
87.25,3506.9912,192.9347
748.75,3511.172,97.16737
450.75,3512.783,1690.6086
185.5,3513.9954,105.72092
199.25,3516.805,560.55347
265,3519.6526,535.6928
160,3522.1282,1073.6736
110.5,3522.7112,321.56143
104.5,3525.6995,2728.0706
132,3529.424,123.24068
62.5,3534.4385,126.577515
2037.75,3536.349,114.440544
359.5,3540.51,157.76213
992,3544.1633,588.6506
981,3548.298,1695.2428
445.5,3548.5432,-53.406292
18.75,3548.9583,66.68096
17,3555.7632,688.66907
397.75,3556.2424,1067.8987
237,3563.6643,909.3025
85.75,3563.9788,142.70131
64.25,3564.4226,565.1103
686.5,3578.299,352.05804
556,3584.118,590.0044
243.5,3587.9216,109.66976
1610,3589.167,521.7591
555.25,3589.2495,415.79364
586.25,3589.7737,304.268
458.75,3591.9458,179.4855
631.5,3593.7676,1513.9526
12.5,3599.2893,215.66968
265.25,3601.173,170.06966
76.75,3602.3003,372.06332
113.25,3602.6338,1190.8848
272.5,3608.0588,242.83543
300.75,3615.3901,1661.3268
760.25,3616.652,164.43648
622,3621.728,2537.5613
1024.75,3624.8728,810.6269
821.25,3636.2957,2729.3904
1000,3639.0134,100.5882
633.75,3648.9604,104.19028
951.25,3650.7405,234.43166
574,3655.5884,141.52469
1412.5,3656.391,457.229
226.75,3657.9722,96.43128
26.25,3673.5552,1641.4418
94.75,3677.9568,215.47098
90.5,3684.8396,268.68985
303.75,3689.4043,261.93494
254.5,3689.8572,162.34805
49.25,3694.7925,96.18135
433,3695.037,647.18506
47.75,3695.1367,621.9961
199.75,3698.4084,108.26248
500.5,3698.6292,165.0509
437.25,3704.5957,135.76302
611,3706.2407,965.96967
481.75,3718.543,589.10364
6.75,3729.0015,678.22437
278.25,3730.856,1600.3864
459,3734.8809,55.88403
728,3742.9258,460.20462
1535,3745.3494,472.69354
202,3746.8213,120.9024
266,3748.7842,88.73419
336.5,3750.2185,824.44714
200.5,3758.398,187.85661
265.5,3759.196,455.8211
134.5,3761.8528,169.04968
245.5,3764.9832,1316.1106
236.5,3766.3606,101.35603
85.25,3769.9644,572.9537
121.75,3774.3542,1039.718
597.75,3778.6387,897.9643
11.5,3793.0103,680.5029
200,3800.6428,129.23137
260.25,3802.4866,628.1017
251,3809.5999,753.52673
635.75,3813.7305,361.6565
276,3816.0466,176.96162
219,3818.5598,531.9322
631.75,3823.406,1877.2338
199.75,3825.9392,332.89774
283.75,3831.9565,513.41144
297.75,3835.0488,214.66824
306.5,3850.764,235.60637
124.5,3853.3928,293.3098
34,3854.4453,588.80145
357,3870.3228,303.47067
523.75,3870.6267,50.12731
19.75,3871.4985,1113.6802
330.75,3872.3777,564.98486
433.25,3873.1501,601.1576
9,3876.0862,219.73888
321.5,3877.8804,127.153534
3.75,3885.4365,300.79324
436.25,3890.2646,246.06711
1125,3890.7212,2810.716
246.25,3891.389,217.10634
374.75,3896.3198,906.1079
19.5,3906.963,1018.833
193.75,3916.6912,79.03474
139.5,3922.2039,1614.8622
184.25,3927.232,1613.3074
879,3930.3264,513.22125
1003.5,3932.2388,569.19995
249,3936.692,611.51025
345.75,3937.5605,321.86847
864.75,3943.4932,46.225216
853,3949.2686,1273.3474
728.75,3951.553,544.59717
745.25,3951.9272,492.02798
182.25,3955.1006,847.856
242.5,3961.4556,615.55176
971.75,3963.4312,88.012245
93.5,3966.1968,86.92391
702.75,3978.0427,422.01886
273.75,3980.7354,185.83974
358.75,3983.6372,70.99912
904.75,3985.963,606.46387
262.75,4001.1265,125.857216
424.75,4006.903,2335.6855
221,4009.7385,69.53057
872.75,4018.4312,579.8078
931.5,4023.1177,250.08708
118,4023.359,523.21155
428,4026.9922,95.50991
152.75,4027.0144,2633.877
14.5,4037.9385,1900.2594
583,4047.8958,377.63574
207,4048.173,76.09652
302.5,4059.9475,207.91594
8.25,4071.9531,145.2221
508.5,4080.7695,1332.5004
2.25,4084.7192,434.71896
83,4086.8884,1228.4005
182,4089.8118,931.2588
649,4094.4324,636.5326
180,4099.8047,1171.7161
34.25,4104.137,87.911995
102.75,4104.957,774.7597
451.75,4117.809,1868.406
149.25,4119.6143,153.32695
2.75,4119.893,245.66438
433.75,4128.3135,93.63567
202.75,4129.009,1619.311
259,4138.7617,517.7537
242.75,4140.017,87.125595
136.5,4143.799,666.9065
398.25,4145.4536,925.66
1133.25,4154.139,202.43593
694.5,4156.8877,224.43962
107.5,4165.1997,94.74078
625,4165.6167,459.0029
962.25,4166.739,1703.4818
930.75,4168.6533,1709.6324
824,4171.046,221.12436
429.75,4173.062,259.1909
638.25,4174.1997,742.7123
257.25,4175.942,330.34747
107.75,4199.6743,818.7423
356.75,4211.0884,83.35881
57.5,4216.856,216.55768
232.5,4225.7886,169.09999
264.25,4236.5186,341.3324
51.75,4246.4653,138.9925
486.75,4248.692,763.63324
496.75,4250.3486,2856.585
1457,4253.5444,3099.7837
397.75,4254.3823,502.19086
435.5,4265.0996,270.40015
265.75,4274.3423,178.18239
537.75,4277.4097,414.6681
220.25,4277.7,2614.3784
443.25,4278.719,1175.8192
245.75,4280.4907,2645.311
566.75,4280.8003,225.47733
247,4287.6826,438.8198
858.75,4288.3433,569.92865
21.25,4311.598,667.6666
376.25,4314.5215,1211.4023
107.75,4318.1743,223.03366
709.75,4344.051,515.402
711.5,4360.527,464.76334
617.25,4362.696,95.45601
201.75,4364.6504,363.28967
425.5,4373.6523,1569.4825
133.25,4384.0396,243.67204
18,4384.9395,69.90661
312,4400.7266,360.9978
268.5,4409.706,4720.2324
6.5,4411.1465,170.40695
6.75,4416.613,134.87862
648,4420.292,2822.3806
209.75,4439.314,1203.2432
363.5,4445.313,1030.0619
980.75,4452.4,103.63069
335.5,4454.937,1086.0349
249.25,4456.6885,57.397915
618.5,4459.989,176.70114
234.25,4466.411,206.47589
177,4485.868,892.7475
205,4491.6743,130.747
433.25,4497.4233,1451.8209
288.5,4505.0874,319.24918
455,4506.3516,160.29478
130,4511.1196,224.28984
824.25,4516.388,170.75642
287,4524.98,94.738945
234,4535.0396,292.06693
20.25,4539.263,229.4968
57.75,4542.062,818.9332
266,4545.6616,247.53133
271.75,4549.6523,288.14
206.75,4554.2324,432.9619
271.5,4562.289,332.67392
263.25,4563.5205,476.93533
77.25,4565.895,690.8081
404,4580.038,1988.5522
333.25,4592.241,1506.5264
225.5,4596.2476,469.71933
41.75,4619.4565,309.0648
332,4629.862,1248.1731
117.75,4633.455,214.86575
154,4638.3525,915.72314
439.25,4649.004,658.8073
632.5,4650.591,485.10318
5.5,4665.729,242.36281
780.75,4673.842,747.0221
1371.75,4675.164,3071.132
67.25,4687.473,235.723
142.75,4693.8755,1205.13
605,4699.676,685.129
949.75,4700.6772,488.79086
1304.25,4711.8584,615.441
55.75,4723.8867,578.4485
1351,4729.137,2224.9553
522.25,4759.744,653.8083
1169,4760.1255,167.30345
54.25,4762.0864,722.349
251.25,4764.2437,215.43552
325.75,4777.907,170.72868
716.5,4778.7676,148.55194
171.25,4782.7656,376.9519
313.5,4789.9355,2745.1338
44,4795.874,1111.6483
862.75,4808.9233,191.5858
465.25,4816.696,274.39243
128.5,4822.1055,208.59949
418.5,4826.695,287.85663
27.25,4826.7036,161.00821
88,4836.5005,64.90419
229,4845.074,1373.8335
386,4848.1113,384.11337
103.25,4860.7505,1228.856
225,4863.848,1349.6766
94,4870.4653,268.57025
230,4871.415,2656.7043
121,4879.8296,234.26605
7.75,4886.474,902.69135
202.25,4888.5244,320.19516
371,4889.8584,142.33089
474.5,4898.854,562.7867
981.25,4914.6187,222.9876
562.5,4919.6494,351.66602
240.25,4924.96,816.8264
421.75,4926.942,292.71838
881,4931.836,1449.9551
243.5,4935.9897,139.89148
159.25,4947.193,242.94374
534.75,4949.407,324.28143
413.5,4965.0293,2018.4236
514,4967.1533,689.6718
728.25,4973.7803,294.40967
582,4975.667,1302.7004
92.75,4976.8833,77.04978
337.75,4989.1406,168.12192
999.5,4993.087,574.77747
526.5,5007.868,512.1694
1347.5,5009.9595,334.1366
986.5,5015.612,793.3363
165.5,5022.729,265.06674
25.75,5023.2935,336.11795
378.5,5040.618,750.961
191.25,5041.296,588.7271
496.25,5054.1323,1201.0842
1034.75,5055.823,509.07718
245.25,5056.663,323.5948
576.25,5065.272,119.12376
436.25,5066.5073,647.90405
404.75,5076.153,362.72806
891.75,5077.457,326.25705
458.25,5080.737,565.4979
458,5095.313,564.42944
236.75,5098.024,900.21747
173.75,5115.728,85.84242
186.75,5132.8413,2702.989
475,5159.3496,252.9478
384.75,5160.448,480.21765
701.5,5161.375,384.85934
343,5168.4766,200.3885
638.25,5183.566,247.63245
9,5196.875,1980.6113
105.25,5197.0137,1409.7992
402,5204.4624,335.9682
219,5220.7603,609.5137
423.25,5224.318,449.19846
108.25,5229.5283,59.78399
1.25,5229.855,1198.4513
201.75,5246.238,868.0362
535.75,5262.78,1053.1238
158.5,5268.862,645.15564
31,5272.6943,-74.51459
1017.25,5281.034,674.7252
404.75,5285.303,1737.8207
397,5290.99,2084.3865
282,5298.096,1210.5525
83.25,5310.1587,76.45312
391.5,5318.05,-105.07836
421,5324.152,121.192375
1200.75,5358.295,1390.6987
0,5371.836,1115.7352
1063.25,5374.62,689.38434
442.25,5378.8164,755.35443
564.5,5379.933,1239.5397
3.75,5415.547,1101.8755
41.5,5431.029,908.84406
1000.25,5465.2563,503.1995
384.25,5469.223,122.23842
411.75,5473.5156,238.22739
285.5,5479.8613,192.75786
559.75,5509.0215,771.689
240,5512.7725,116.80753
315.5,5527.3667,148.48932
348.5,5534.7427,1378.409
744.75,5542.059,1875.3073
116.75,5552.928,713.0489
381.25,5557.047,327.05853
514.75,5571.8716,409.26443
179.5,5610.751,731.26013
161.5,5611.0044,199.29616
494.25,5620.9033,49.43851
513,5622.764,1187.2838
332.25,5650.084,231.77449
123.75,5652.38,2319.4146
225,5680.378,159.8988
449.25,5689.849,280.83704
89.5,5714.194,124.9202
568.5,5720.204,149.63657
115.75,5748.0645,268.14407
370.5,5767.566,727.404
9.75,5775.044,668.5026
1968,5800.567,306.31665
502,5830.998,-88.74637
1909.25,5831.9585,56.679077
135.75,5838.352,857.099
1392.25,5857.569,802.30963
79.75,5875.0986,254.91669
1221.25,5891.9683,934.4548
800,5896.318,834.0698
453,5914.1562,578.18134
730.5,5918.939,146.92387
208.25,5927.091,349.93716
117.75,5967.648,337.68463
306.75,6005.4546,102.6792
523.25,6020.106,77.624405
424.5,6040.677,549.7982
125.75,6058.6187,288.29877
383.5,6089.1123,697.2018
607.5,6098.7407,100.43017
584.25,6098.858,2165.5552
210,6156.875,751.6706
501.25,6160.4224,472.0959
393.75,6162.7427,702.156
495.25,6178.4863,98.84235
546.5,6180.222,134.77477
5,6194.7334,1965.9489
94.25,6214.1533,354.2378
12.25,6221.016,435.4223
312,6227.911,320.64752
244.25,6242.1045,109.90617
796.25,6246.502,227.90659
139.5,6255.619,347.63467
205,6260.9062,1163.744
271.25,6263.355,515.2096
87.25,6263.401,1386.5927
421.75,6288.198,181.82806
911,6291.164,2100.917
312.25,6314.297,1396.4038
141,6326.831,258.3089
490.5,6337.433,383.1426
690.25,6348.5015,278.75757
486,6355.2295,98.557884
312,6356.19,160.99603
364.75,6365.2676,1712.5283
487.5,6370.401,177.83835
41,6394.156,1829.7018
346,6408.8076,1996.032
370.25,6449.1206,168.0271
2320,6470.495,72.43375
227.25,6499.6675,84.6401
526.25,6531.245,187.90514
219.5,6536.3154,1962.834
947.5,6546.0894,237.77937
27.5,6563.662,427.83722
465.75,6575.748,277.76794
23.75,6589.729,1727.1368
808.25,6589.8164,1648.8533
687,6591.696,315.0188
1078.75,6603.513,762.8317
731.75,6610.3267,690.43353
42.5,6631.981,453.67673
205.5,6653.76,371.95468
609.25,6665.1797,2194.3186
496,6670.6436,1785.347
446.75,6685.5825,829.0008
662.5,6705.8394,903.39136
485.75,6744.595,681.8156
821.75,6748.084,659.9939
866.5,6750.2676,343.50674
183,6752.3237,1187.7195
771,6774.838,137.10458
543.25,6777.8184,1479.8851
6.5,6813.868,1213.1273
155.5,6824.2144,275.55072
700.5,6829.2817,676.7304
159.75,6842.161,574.7039
979.25,6868.3853,964.75604
854,6880.0366,147.1591
116.25,6973.3896,81.80582
577,6975.596,563.2156
515.5,6987.809,981.9092
818,7017.7065,222.38387
699,7023.6855,726.04913
489.75,7155.568,1951.1664
50,7191.773,1837.2009
490.75,7194.7256,354.76535
358.5,7194.9346,229.27716
472.25,7196.8228,163.44084
601,7258.6514,-111.14077
695.5,7304.564,2036.434
1355,7315.3047,95.31587
12.25,7350.389,483.15997
451.5,7370.512,63.275738
834.25,7377.929,134.29665
664.75,7379.1987,81.25453
1084.25,7393.0654,230.75887
400,7398.0137,99.42149
539.25,7401.1846,144.48778
434.75,7415.4727,668.742
362.25,7433.8877,657.1163
682,7454.8247,145.99348
490.5,7463.534,681.3739
376.25,7527.203,430.61685
1285,7557.2764,503.51764
663.75,7605.578,1127.6664
52.5,7605.6064,1792.7529
0.5,7624.0264,395.03024
465.75,7688.3066,1116.6226
1173.5,7782.0776,185.89468
933,7827.402,677.75793
685.75,7848.001,230.53253
659.25,7947.611,201.91324
231.5,7949.7856,179.80368
457.75,7973.5273,714.6225
291.5,8083.355,220.338
554.5,8107.0977,1977.8341
1002.5,8144.067,1382.1946
901,8272.78,1731.1381
65.75,8323.273,1914.054
1167.25,8439.477,819.53235
701.5,8441.666,81.72574
873,8470.887,723.4318
353,8475.605,251.28076
680.25,8490.718,2131.2878
343.5,8499.752,1578.5911
393.5,8597.826,232.75218
458.75,8697.837,185.72266
795.25,8733.612,700.7098
711.5,8748.147,151.46944
362.75,8767.748,457.96033
488.25,8806.55,1910.8359
205.25,8816.252,391.0927
685.25,8917.423,1955.03
1094.75,8968.44,99.0581
507.75,8988.044,560.313
915.5,8990.117,1817.3024
623.5,9037.818,531.9137
350.25,9057.402,214.15446
460.5,9074.844,93.2236
291.25,9091.32,226.10971
303,9136.695,608.6493
674,9182.473,1888.2104
974,9275.743,356.77216
678.5,9353.761,285.15253
743.75,9384.061,2009.2839
381.5,9394.847,675.4856
431.5,9487.841,562.9598
510.75,9828.592,109.511665
137.25,9833.459,195.55225
181.5,9924.095,192.49683
320,9929.28,1780.1493
379,10023.35,549.8405
377.5,10083.086,662.7179
515.25,10267.981,261.09552
462.25,10354.594,432.2362
659.75,10479.317,190.45924
410.25,10639.834,448.20477
1067.75,10760.711,421.94785
473.25,11657.108,402.7612
342,11722.662,-122.23819
272.25,12280.3955,452.0319
289.75,12387.68,315.55475
352.25,12425.835,151.98326
96.25,12535.036,290.2929
588.5,12773.505,420.4634